Text,Model,P1,P2,P3,P4,Topsis Score,Rank
T1,M1,0.41666666180555556,0.2891566217157788,0.41666666180555556,1.4763948497854078,0.7773475954828312,4
T1,M2,0.2812499950195313,0.18918918424762612,0.2812499950195313,1.3304721030042919,0.16107217005471192,1
T1,M3,0.26086956030245756,0.1518987293126103,0.26086956030245756,1.296137339055794,0.039464270442541576,2
T1,M4,0.4687499950195313,0.3157894687707757,0.4687499950195313,1.3347639484978542,0.9912772636318751,3
T2,M1,0.37499999501953135,0.2531645519692358,0.37499999501953135,1.02803738317757,0.9515190250906029,1
T2,M2,0.3174603124918116,0.05555555065200661,0.3174603124918116,0.7897196261682243,0.13591147482070737,4
T2,M3,0.3013698580371552,0.04651162291779394,0.2739725977631826,1.158878504672897,0.03839632218453402,2
T2,M4,0.3684210476869806,0.14736841614626056,0.3157894687396123,1.3457943925233644,0.4969032410142359,3
T3,M1,0.3380281641341004,0.14999999515312512,0.3380281641341004,1.311926605504587,0.9792913397043809,4
T3,M2,0.08450703737353728,0.026666661738667576,0.08450703737353728,1.2201834862385321,0.01345895450094384,1
T3,M3,0.208955218935175,0.0845070372783181,0.208955218935175,1.1697247706422018,0.4832372289803227,3
T3,M4,0.3380281641341004,0.14999999515312512,0.3380281641341004,1.3073394495412844,0.9799459690536211,2
T4,M1,0.3055555505594136,0.12195121451219532,0.27777777278163585,0.952755905511811,0.28296521387721024,2
T4,M2,0.3611111061149692,0.12048192271156938,0.3055555505594136,0.9921259842519685,0.943369010119664,3
T4,M3,0.34210525818905824,0.11627906477825874,0.2894736792416898,1.0905511811023623,0.6559026757535514,1
T4,M4,0.29333332835555564,0.11494252375214713,0.266666661688889,1.0669291338582678,0.024962576105560335,4
T5,M1,0.5263157844875347,0.2666666617061729,0.5263157844875347,1.1,0.9286530353292725,1
T5,M2,0.514285709289796,0.2278480962730333,0.48571428071836736,0.8961538461538462,0.8267916251138792,2
T5,M3,0.32352940678200703,0.10256409757725206,0.32352940678200703,0.8076923076923077,0.16601059257196643,4
T5,M4,0.4102564052859961,0.06741572536800945,0.3333333283629192,1.1538461538461537,0.17978098695188663,3
